dropout_rate,dense_units,sequence_model_dense_units,sequence_model_layers,val_acc
0.0,128,128,1,0.7523674368858337
0.5,128,128,3,0.7507102489471436
0.0,64,32,2,0.7492897510528564
0.5,64,64,2,0.748106062412262
0.0,128,512,3,0.7473958730697632
0.5,128,512,1,0.7464488744735718
0.5,128,128,1,0.7462120652198792
0.0,128,512,1,0.7457386255264282
0.0,512,128,3,0.7412405014038086
0.5,32,64,2,0.7400568127632141
0.0,128,128,3,0.7398200631141663
0.0,32,64,2,0.7381629347801208
0.0,512,512,1,0.736268937587738
0.5,512,128,1,0.736268937587738
0.0,512,128,1,0.734375
0.5,64,32,2,0.734375
0.5,64,64,1,0.7339015603065491
0.0,32,64,1,0.732481062412262
0.0,32,32,2,0.7296401858329773
0.0,64,64,2,0.7277461886405945
0.5,128,512,3,0.7256155014038086
0.0,64,64,1,0.7251420617103577
0.0,512,512,3,0.7189867496490479
0.0,64,32,1,0.7163825631141663
0.0,32,32,1,0.7154356241226196
0.5,32,32,1,0.7021780014038086
0.5,32,64,1,0.6993370652198792
